m,r,rho,T,P,L,epsilon,kappa,nabla_ad,nabla,nature
9.495e+33,9.586e+10,2.567e-01,5.104e+06,1.781e+14,2.594e+36,4.142e-04,7.401e-01,4.000e-01,2.092e-01,Radiative
9.545e+33,9.764e+10,2.231e-01,4.918e+06,1.492e+14,2.594e+36,2.871e-04,7.608e-01,4.000e-01,2.079e-01,Radiative
9.595e+33,9.962e+10,1.905e-01,4.721e+06,1.224e+14,2.594e+36,1.902e-04,7.903e-01,4.000e-01,2.075e-01,Radiative
9.645e+33,1.019e+11,1.591e-01,4.505e+06,9.754e+13,2.594e+36,1.183e-04,8.240e-01,4.000e-01,2.069e-01,Radiative
9.695e+33,1.045e+11,1.289e-01,4.265e+06,7.484e+13,2.594e+36,6.749e-05,8.638e-01,4.000e-01,2.061e-01,Radiative
9.745e+33,1.076e+11,9.987e-02,3.996e+06,5.438e+13,2.594e+36,3.419e-05,9.087e-01,4.000e-01,2.033e-01,Radiative
9.795e+33,1.115e+11,7.230e-02,3.681e+06,3.629e+13,2.594e+36,1.426e-05,9.944e-01,4.000e-01,2.053e-01,Radiative
9.845e+33,1.167e+11,4.641e-02,3.282e+06,2.080e+13,2.594e+36,4.139e-06,1.121e+00,4.000e-01,2.087e-01,Radiative
9.895e+33,1.250e+11,2.251e-02,2.699e+06,8.311e+12,2.594e+36,4.811e-07,1.367e+00,4.000e-01,2.214e-01,Radiative
9.945e+33,1.776e+11,1.035e-09,1.843e+04,2.859e+03,2.594e+36,4.851e-58,3.079e+00,4.000e-01,7.843e-02,Radiative
